Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2697,USD,105.238889,5.00,108.568750,4.49
US900123AW05,05.02.2025,3017,USD,116.782292,5.12,120.384722,4.65
US900123CJ75,14.04.2026,3450,USD,93.962500,5.09,97.271528,4.65
US900123CK49,09.10.2026,3628,USD,98.161458,5.15,101.479167,4.73
US900123AL40,15.01.2030,4822,USD,163.529514,5.44,167.194444,5.17
US900123AT75,14.02.2034,6313,USD,124.733333,5.86,128.344444,5.59
US900123AY60,17.03.2036,7075,USD,111.609375,5.93,115.204861,5.65
US900123BB58,05.03.2038,7793,USD,117.147917,5.92,120.748611,5.66
US900123BG46,30.05.2040,8610,USD,113.100000,5.94,116.693750,5.68
US900123BJ84,14.01.2041,8839,USD,102.300000,5.96,105.883333,5.69
US900123CB40,16.04.2043,9661,USD,86.216667,5.93,89.784375,5.64
US900123CG37,17.02.2045,10334,USD,110.630208,5.94,114.222222,5.71
