Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123AW05,05.02.2025,4297,USD,134.532292,3.88,137.384722,3.63
US900123AL40,15.01.2030,6102,USD,193.529514,4.28,196.444444,4.13
US900123AT75,14.02.2034,7593,USD,146.983333,4.6,150.094444,4.42
US900123AY60,17.03.2036,8355,USD,132.109375,4.64,134.954861,4.48
US900123BB58,05.03.2038,9073,USD,138.147917,4.71,140.998611,4.56
US900123BG46,30.05.2040,9890,USD,133.85,4.71,136.69375,4.57
US900123BJ84,14.01.2041,10119,USD,122.05,4.69,124.883333,4.53
US900123CB40,16.04.2043,10941,USD,102.966667,4.7,105.784375,4.54
