Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123AW05,05.02.2025,16,USD,102.953208,17.12,104.074181,0.00
US900123CX69,13.03.2025,52,USD,100.784306,9.04,101.977917,1.02
US900123CZ18,14.10.2025,267,USD,102.092000,5.81,103.367417,4.07
US900123DB31,26.01.2026,371,USD,101.160833,5.92,102.427222,4.64
US900123CJ75,14.04.2026,449,USD,98.987333,6.08,100.255944,5.01
US900123CK49,09.10.2026,627,USD,99.307708,6.15,100.789792,5.24
US900123CL22,25.03.2027,794,USD,101.269667,6.32,102.778000,5.59
USM88269US88,24.09.2027,977,USD,108.391111,6.28,109.928889,5.69
US900123DF45,15.01.2028,1090,USD,109.137153,6.51,110.672014,5.98
US900123CP36,17.02.2028,1123,USD,98.098125,6.61,99.631597,6.06
US900123CQ19,24.10.2028,1373,USD,99.703194,6.66,101.267222,6.19
US900123DH01,14.03.2029,1514,USD,111.981250,6.92,113.548333,6.52
US900123CT57,26.04.2029,1557,USD,104.059167,6.99,105.626528,6.58
US900123AL40,15.01.2030,1821,USD,122.654931,6.52,124.630903,6.12
US900123CY43,13.03.2030,1878,USD,93.812083,7.14,95.706250,6.69
US900123DJ66,13.07.2030,2000,USD,109.017431,7.15,110.803125,6.78
US900123DA57,15.01.2031,2186,USD,93.297639,7.37,95.080694,6.99
US900123DC14,26.06.2031,2348,USD,92.676667,7.40,94.474306,7.04
US900123DL13,17.07.2032,2735,USD,97.689375,7.54,99.343958,7.26
US900123DG28,19.01.2033,2921,USD,110.576042,7.59,112.398125,7.31
US900123DD96,20.09.2033,3165,USD,95.211667,7.61,97.157778,7.29
US900123AT75,14.02.2034,3312,USD,107.069667,7.45,109.024111,7.16
US900123DK30,15.05.2034,3402,USD,101.326736,7.63,103.054097,7.38
US900123DN78,03.01.2035,3635,USD,92.166944,7.68,93.883056,7.43
US900123AY60,17.03.2036,4074,USD,95.991958,7.73,97.925153,7.47
US900123BB58,05.03.2038,4792,USD,100.896750,7.47,103.007028,7.22
US900123BG46,30.05.2040,5609,USD,89.597500,8.05,91.700000,7.79
US900123BJ84,14.01.2041,5838,USD,80.603000,8.21,82.681333,7.95
US900123CB40,16.04.2043,6660,USD,69.250917,8.32,71.143000,8.06
US900123CG37,17.02.2045,7333,USD,85.543625,8.42,87.450431,8.20
US900123CM05,11.05.2047,8146,USD,74.167083,8.45,76.054028,8.22
XS1843443356,31.03.2025,70,EUR,103.265014,6.87,104.950356,0.00
XS1629918415,14.06.2025,145,EUR,101.168904,5.18,102.891712,0.89
XS1909184753,16.02.2026,392,EUR,106.239393,3.82,108.047809,2.13
XS2361850527,08.07.2027,899,EUR,103.344315,3.93,105.188288,3.16
XS2790222116,21.05.2030,1947,EUR,108.459247,5.09,110.241438,4.72
