Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123AW05,05.02.2025,4850,USD,118.679861,5.55,121.761806,5.26
US900123AL40,15.01.2030,6655,USD,170.864583,5.82,173.996528,5.63
US900123AT75,14.02.2034,8146,USD,124.122222,6.13,127.211111,5.92
US900123AY60,17.03.2036,8908,USD,109.513889,6.18,112.590278,5.95
US900123BB58,05.03.2038,9626,USD,114.797222,6.19,117.877778,5.98
US900123BG46,30.05.2040,10443,USD,110.25625,6.19,113.33125,5.98
US900123BJ84,14.01.2041,10672,USD,99.966667,6.13,103.033333,5.91
