Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CV04,10.08.2024,85,USD,101.195972,8.48,102.761528,1.83
US900123CW86,14.11.2024,181,USD,99.392667,6.97,100.878889,3.96
US900123AW05,05.02.2025,264,USD,102.374583,6.94,104.070528,4.59
US900123CX69,13.03.2025,300,USD,98.816556,6.70,100.478778,4.65
US900123CZ18,14.10.2025,515,USD,100.455375,6.47,102.151208,5.25
US900123DB31,26.01.2026,619,USD,98.653583,6.53,100.536361,5.36
US900123CJ75,14.04.2026,697,USD,96.453583,6.47,98.335806,5.43
US900123CK49,09.10.2026,875,USD,96.905583,6.52,98.737750,5.70
US900123CL22,25.03.2027,1042,USD,99.341667,6.59,101.248333,5.87
USM88269US88,24.09.2027,1225,USD,106.806111,6.72,108.655667,6.15
US900123DF45,15.01.2028,1338,USD,113.096528,6.82,114.981250,6.29
US900123CP36,17.02.2028,1371,USD,95.871250,6.78,97.778194,6.20
US900123CQ19,24.10.2028,1621,USD,97.626319,6.86,99.398375,6.40
US900123DH01,14.03.2029,1762,USD,110.178625,7.24,112.090792,6.81
US900123CT57,26.04.2029,1805,USD,102.173792,7.20,104.178514,6.74
US900123AL40,15.01.2030,2069,USD,128.290306,6.66,131.133250,6.15
US900123CY43,13.03.2030,2126,USD,91.639333,7.23,93.596667,6.81
US900123DJ66,13.07.2030,2248,USD,111.575056,7.39,113.500444,7.04
US900123DA57,15.01.2031,2434,USD,94.307389,7.44,96.236500,7.06
US900123DC14,26.06.2031,2596,USD,93.858042,7.42,95.793319,7.07
US900123DG28,19.01.2033,3169,USD,114.299917,7.58,116.274083,7.30
US900123DD96,20.09.2033,3413,USD,94.348167,7.51,96.266389,7.22
US900123AT75,14.02.2034,3560,USD,106.295667,7.38,108.361556,7.10
US900123DK30,15.05.2034,3650,USD,100.197361,7.60,101.983083,7.36
US900123AY60,17.03.2036,4322,USD,94.953833,7.68,97.022222,7.41
US900123BB58,05.03.2038,5040,USD,97.793000,7.68,100.053556,7.42
US900123BG46,30.05.2040,5857,USD,92.677250,7.91,94.935250,7.65
US900123BJ84,14.01.2041,6086,USD,83.901000,7.99,85.818667,7.76
US900123CB40,16.04.2043,6908,USD,70.093792,8.02,72.031958,7.77
US900123CG37,17.02.2045,7581,USD,86.881250,8.11,88.937861,7.89
US900123CM05,11.05.2047,8394,USD,75.889833,8.08,77.834722,7.87
XS1843443356,31.03.2025,318,EUR,100.671548,4.51,102.468233,2.45
XS1629918415,14.06.2025,393,EUR,101.620366,4.59,103.479885,2.82
XS1909184753,16.02.2026,640,EUR,102.294896,4.58,104.272727,3.43
XS2361850527,08.07.2027,1147,EUR,103.374415,4.50,105.336230,3.84
XS2790222116,21.05.2030,2195,EUR,101.719466,5.70,102.420849,5.58
