Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,3461,USD,105.127778,5.08,108.755556,4.63
US900123AW05,05.02.2025,3781,USD,118.876736,5.14,122.540625,4.75
US900123AL40,15.01.2030,5586,USD,169.473958,5.39,173.487847,5.13
US900123AT75,14.02.2034,7077,USD,128.272222,5.66,132.2,5.4
US900123AY60,17.03.2036,7839,USD,113.498264,5.79,117.401042,5.51
US900123BB58,05.03.2038,8557,USD,119.753472,5.74,123.664583,5.49
US900123BG46,30.05.2040,9374,USD,114.75,5.81,118.4,5.57
US900123BJ84,14.01.2041,9603,USD,104.016667,5.79,107.9,5.53
US900123CB40,16.04.2043,10425,USD,91.720833,5.62,95.579167,5.34
US900123CG37,17.02.2045,11098,USD,112.041319,5.83,115.938542,5.59
