Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CR91,23.12.2023,1667,USD,101.523139,8.00,103.683556,7.44
US900123CF53,22.03.2024,1757,USD,92.893111,7.82,95.104917,7.28
US900123AW05,05.02.2025,2077,USD,99.455903,8.02,101.699306,7.55
US900123CJ75,14.04.2026,2510,USD,82.788056,7.61,84.970694,7.18
US900123CK49,09.10.2026,2688,USD,84.703625,7.77,86.898417,7.36
US900123CL22,25.03.2027,2855,USD,89.914333,7.94,92.131000,7.56
US900123CP36,17.02.2028,3184,USD,84.890319,7.78,87.089972,7.41
US900123CQ19,24.10.2028,3434,USD,89.010500,7.90,91.229597,7.56
US900123CT57,26.04.2029,3618,USD,99.223194,8.15,101.471458,7.84
US900123AL40,15.01.2030,3882,USD,128.276125,8.43,131.357028,8.08
US900123AT75,14.02.2034,5373,USD,100.006556,8.28,103.262111,7.91
US900123AY60,17.03.2036,6135,USD,89.291097,8.21,92.024778,7.91
US900123BB58,05.03.2038,6853,USD,92.440806,8.23,95.181778,7.94
US900123BG46,30.05.2040,7670,USD,86.048000,8.15,88.779250,7.86
US900123BJ84,14.01.2041,7899,USD,81.942667,7.99,84.534333,7.71
US900123CB40,16.04.2043,8721,USD,72.525833,7.40,74.970625,7.13
US900123CG37,17.02.2045,9394,USD,85.739486,8.13,88.343306,7.87
US900123CM05,11.05.2047,10207,USD,76.735472,7.84,79.197278,7.59
XS1843443356,31.03.2025,2131,EUR,94.171833,5.99,95.860290,5.65
XS1629918415,14.06.2025,2206,EUR,89.634342,5.98,92.296671,5.42
XS1909184753,16.02.2026,2453,EUR,96.149644,6.19,97.849370,5.88
