Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CV04,10.08.2024,68,USD,101.315194,9.86,102.806472,1.99
US900123CW86,14.11.2024,164,USD,99.352556,7.76,100.903667,4.26
US900123AW05,05.02.2025,247,USD,102.311361,7.52,103.957333,5.04
US900123CX69,13.03.2025,283,USD,98.562444,7.45,100.246056,5.21
US900123CZ18,14.10.2025,498,USD,100.123708,6.95,101.857125,5.63
US900123DB31,26.01.2026,602,USD,98.301694,6.95,100.083083,5.79
US900123CJ75,14.04.2026,680,USD,96.110472,6.84,97.920083,5.79
US900123CK49,09.10.2026,858,USD,96.636250,6.79,98.455333,5.94
US900123CL22,25.03.2027,1025,USD,98.934333,6.87,100.767667,6.15
USM88269US88,24.09.2027,1208,USD,106.530333,6.92,108.339111,6.33
US900123DF45,15.01.2028,1321,USD,112.764417,7.02,114.573278,6.49
US900123CP36,17.02.2028,1354,USD,95.389028,7.03,97.215500,6.45
US900123CQ19,24.10.2028,1604,USD,97.190542,7.06,98.954569,6.59
US900123DH01,14.03.2029,1745,USD,110.215292,7.32,112.047375,6.89
US900123CT57,26.04.2029,1788,USD,102.099681,7.30,103.964042,6.86
US900123AL40,15.01.2030,2052,USD,128.512083,6.68,131.105056,6.21
US900123CY43,13.03.2030,2109,USD,91.360667,7.36,93.284833,6.93
US900123DJ66,13.07.2030,2231,USD,111.528611,7.47,113.417306,7.11
US900123DA57,15.01.2031,2417,USD,94.218833,7.52,96.116889,7.14
US900123DC14,26.06.2031,2579,USD,93.714153,7.51,95.592792,7.15
US900123DG28,19.01.2033,3152,USD,114.330583,7.63,116.216667,7.36
US900123DD96,20.09.2033,3396,USD,94.216056,7.58,96.124167,7.28
US900123AT75,14.02.2034,3543,USD,106.213222,7.44,108.274667,7.16
US900123DK30,15.05.2034,3633,USD,100.099250,7.67,101.863611,7.42
US900123AY60,17.03.2036,4305,USD,94.780389,7.75,96.797583,7.48
US900123BB58,05.03.2038,5023,USD,98.125222,7.68,100.260500,7.43
US900123BG46,30.05.2040,5840,USD,89.387250,7.94,91.497750,7.69
US900123BJ84,14.01.2041,6069,USD,84.078667,8.00,86.037000,7.76
US900123CB40,16.04.2043,6891,USD,70.276458,8.02,72.165542,7.78
US900123CG37,17.02.2045,7564,USD,87.118694,8.11,89.020500,7.91
US900123CM05,11.05.2047,8377,USD,76.032389,8.10,77.924333,7.88
XS1843443356,31.03.2025,301,EUR,100.466959,5.02,102.384301,2.67
XS1629918415,14.06.2025,376,EUR,101.555322,4.87,103.498082,2.92
XS1909184753,16.02.2026,623,EUR,102.221426,4.76,104.295842,3.50
XS2361850527,08.07.2027,1130,EUR,102.790626,4.79,104.859533,4.06
XS2790222116,21.05.2030,2178,EUR,100.885096,5.93,102.657288,5.57
