Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CR91,23.12.2023,558,USD,97.503611,11.58,100.651889,9.27
US900123CF53,22.03.2024,648,USD,91.045750,12.34,94.179694,10.26
US900123CV04,10.08.2024,789,USD,91.236583,12.26,94.428861,10.47
US900123CW86,14.11.2024,885,USD,86.546111,12.42,89.747222,10.76
US900123AW05,05.02.2025,968,USD,92.116222,12.13,95.322194,10.63
US900123CX69,13.03.2025,1004,USD,83.723500,11.81,86.937111,10.29
US900123CZ18,14.10.2025,1219,USD,86.104792,11.93,89.315208,10.66
US900123DB31,26.01.2026,1323,USD,81.234639,11.91,84.421028,10.68
US900123CJ75,14.04.2026,1401,USD,78.510528,11.57,81.739139,10.38
US900123CK49,09.10.2026,1579,USD,78.600667,11.56,81.799750,10.48
US900123CL22,25.03.2027,1746,USD,81.475000,11.50,84.736333,10.50
USM88269US88,24.09.2027,1929,USD,90.655222,11.49,93.943000,10.61
US900123CP36,17.02.2028,2075,USD,76.081389,11.35,79.359861,10.43
US900123CQ19,24.10.2028,2325,USD,77.769681,11.30,81.051708,10.47
US900123CT57,26.04.2029,2509,USD,83.774486,11.29,87.091847,10.53
US900123AL40,15.01.2030,2773,USD,107.102944,11.42,110.876917,10.71
US900123CY43,13.03.2030,2830,USD,71.353500,11.11,74.667667,10.34
US900123DA57,15.01.2031,3138,USD,74.186111,11.14,77.464167,10.43
US900123DC14,26.06.2031,3300,USD,0.000000,0.00,0.000000,0.00
US900123DD96,20.09.2033,4117,USD,72.606611,11.04,75.849722,10.42
US900123AT75,14.02.2034,4264,USD,86.203444,10.47,89.640889,9.91
US900123AY60,17.03.2036,5026,USD,73.583361,10.84,76.911556,10.27
US900123BB58,05.03.2038,5744,USD,75.976611,10.70,79.559889,10.13
US900123BG46,30.05.2040,6561,USD,68.858750,10.72,72.231250,10.18
US900123BJ84,14.01.2041,6790,USD,65.519333,10.59,68.832667,10.03
US900123CB40,16.04.2043,7612,USD,59.135875,9.50,62.392958,8.98
US900123CG37,17.02.2045,8285,USD,69.000722,10.47,72.287528,9.97
US900123CM05,11.05.2047,9098,USD,62.274111,9.91,65.544056,9.41
XS1843443356,31.03.2025,1022,EUR,90.568671,8.97,93.814014,7.55
XS1629918415,14.06.2025,1097,EUR,88.615096,9.03,88.859904,7.54
XS1909184753,16.02.2026,1344,EUR,89.220849,9.33,92.742342,8.10
XS2361850527,08.07.2027,1851,EUR,84.325342,9.45,87.899315,8.43
