Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,3341,USD,115.2625,4.01,119.326389,3.53
US900123AW05,05.02.2025,3661,USD,129.794097,4.15,133.876042,3.73
US900123AL40,15.01.2030,5466,USD,181.178819,4.43,185.560764,4.17
US900123AT75,14.02.2034,6957,USD,145.144444,4.68,149.233333,4.44
US900123AY60,17.03.2036,7719,USD,130.751736,4.74,134.828125,4.49
US900123BB58,05.03.2038,8437,USD,137.379861,4.77,141.710417,4.53
US900123BG46,30.05.2040,9254,USD,129.3375,4.81,133.6625,4.57
US900123BJ84,14.01.2041,9483,USD,118.483333,4.77,122.8,4.52
US900123CB40,16.04.2043,10305,USD,104.88125,4.65,108.685417,4.42
US900123CG37,17.02.2045,10978,USD,131.212847,4.83,135.536458,4.61
